流水號,X,Y
890400,275170.6875,2759430.25
890401,275157.25,2759430
890402,275136.625,2759459.5
890403,275111.25,2759478.5
890404,275087.6563,2759466
890405,275092.4375,2759419.5
890406,275061.6875,2759446.5
890407,275063.4688,2759399
890408,275030.625,2759390.25
890409,274986.125,2759378
890410,274962.2188,2759383.25
890411,274946.6875,2759418.5
890412,274928.1875,2759434.25
890413,274973.2813,2759424.25
890414,274992.6875,2759440.5
890416,274933.5625,2759363.25
890417,274883.9688,2759347.25
890418,274839.7813,2759334.75
890419,274806.3438,2759324.25
890420,274731.7188,2759303.25
890421,274700.2813,2759293.5
890422,274661.0625,2759282.75
890423,274603.9375,2759261
890424,274567.3125,2759255
890425,274522.875,2759244.75
890426,274460.2813,2759255.75
890427,274405.6563,2759270
890428,274349.4375,2759277
890429,274320.6563,2759286.5
890430,274298.1875,2759294
890431,274270.0938,2759313.75
890432,274213.0938,2759326.25
890433,274161.25,2759331
890434,274122.875,2759334.5
890435,274080.625,2759329.25
890436,274081.5938,2759364.5
890437,274080.625,2759392
890438,274071.5938,2759438.75
890439,274073.625,2759498
890440,274088.4063,2759522.75
890441,274099.4063,2759547
890442,274127.875,2759548
890443,274117.4688,2759587.25
890444,274151.75,2759565.75
890445,274192.4375,2759553.25
890446,274087.0625,2759581.5
890447,274056.625,2759600
890448,274085.4375,2759609.25
890449,274099.9063,2759645.25
890450,274127.375,2759667.5
890451,274072.3438,2759616
890452,274058.7188,2759635.75
890453,274099.0625,2759693.5
890454,274033.0313,2759335.5
890455,273992.125,2759346.5
890456,273949.4688,2759368.5
890457,273926.5,2759395.25
890458,273882.9688,2759417.75
890459,273854.8438,2759444.5
890460,273831.9375,2759477.25
890461,273802.3125,2759530
890462,273831.7813,2759528.25
890463,273788.0313,2759555.75
890464,273765.6563,2759581
890465,273800.375,2759590.75
890466,273815.3125,2759613
890467,273825.5938,2759654
890468,273897.4375,2759646.5
890469,273926.375,2759691.5
890470,273975.75,2759723
890471,273991.0938,2759693.5
890472,274008.75,2759672
890473,274033.75,2759641
890474,273745.8125,2759593
890475,273707.2813,2759620.25
99722672,273662.75,2759641.5
890477,273655.125,2759673.25
890478,273610.5625,2759656.75
99721000,273610.5625,2759656.75
890479,273573.75,2759667.25
890480,273502.8125,2759687
890481,273454.375,2759699.5
890482,273411.1875,2759711
890483,273347.4375,2759728.25
890484,273741.4688,2759975.5
890485,273746.5313,2759952.5
890486,273731.2188,2759913.5
890487,273744.5,2759889.25
890488,273742.8438,2759879
890489,273754.9688,2759854
890490,273755.1563,2759813.75
890491,273703.3125,2759815.75
890492,273772.875,2759761.75
890493,273792.5625,2759743
890494,273818.9063,2759759.25
890495,273813.7188,2759698.5
890496,273822.375,2759681
890497,274294.8125,2760412
99721001,274294.8125,2760412
890498,274322.25,2760382.25
99721002,274322.25,2760382.25
890499,274340.9688,2760361.5
99721003,274340.9688,2760361.5
890500,274364.0313,2760339.5
99721004,274364.0313,2760339.5
890501,274383.375,2760318.75
99721005,274383.375,2760318.75
890502,274398.9375,2760301.5
890503,274398.9375,2760301.5
890504,274425.1563,2760274.75
99721006,274425.1563,2760274.75
890505,274463.2188,2760236.5
99721007,274463.2188,2760236.5
890506,274486.9688,2760211
99721008,274486.9688,2760211
890507,274506.1563,2760191.75
99721009,274506.1563,2760191.75
890508,274536.0938,2760163.75
99721010,274536.0938,2760163.75
890509,274573.5313,2760134.75
99721011,274573.5313,2760134.75
890510,274598.5625,2760115
99721012,274598.5625,2760115
890511,274623.625,2760096.75
99721013,274623.625,2760096.75
890512,274708.1875,2760030.75
99721014,274708.1875,2760030.75
890513,274724.7813,2760017.25
99721015,274724.7813,2760017.25
890514,274757.6563,2759986
99721016,274757.6563,2759986
890515,274772.9375,2759969.75
99721017,274772.9375,2759969.75
890516,274818.8125,2759910
890517,274837.375,2759890.5
890518,274446.6563,2760201.5
890519,274445.25,2760222.75
890520,274411.9375,2760236.5
890521,274372.5,2760254.5
890522,274351.7188,2760240.75
