"TITLE","TIME","CONTENT","TYPE"
"泰國落地簽證免費 上網申請服務費525泰銖","2018/11/19 18:41","（中央社記者汪淑芬台北19日電）泰國政府15日起到明年1月13日，給予包括台灣在內21國家兩個月落地簽證免費，泰國觀光局今天提醒，上網申請可省去排隊時間，但要付525元泰銖的服務費。 泰國觀光局上午提醒，落地簽證減免費用期間，為減少旅客排隊等候時間，18日起各機場陸續開放上網申請電子落地簽證，24小時可知道是否通過；泰國觀光局下午補充說明，線上申請落地簽證，仍需收取525元泰銖服務費。 目前，在台灣辦泰國簽的費用是新台幣1200元，落地簽證費原本是2000泰銖（約新台幣1900元），15日起，台灣在內等21國家旅客辦理落地簽證，免收2000元泰銖，若想省去排隊時間，就要付525元泰銖。 根據泰國觀光局提供的資料，蘇汪納蓬國際機場及東門國際機場入境的旅客，18日已可上網申請落地簽證，普吉國際機場今天開始實施，清邁國際機場將在26日開始實施。（編輯：黃于）1071119","生活"
"集保e存摺2.0 圖表方式呈現整合資產","2018/11/19 18:30","（中央社記者潘智義台北19日電）台灣集中保管結算所統計，「集保e存摺」APP於去年3月29日上線，實現證券集保存摺行動化與數位化，迄今一年多已成功開通數超過40萬戶。 集保結算所董事長林修銘今天在「集保e存摺」APP2.0發表會表示，近年集保積極打造數位化帳簿劃撥環境，集保e存摺可滿足投資人對證券存摺行動化與數位化的需求，更深一層的意義是運用數位化科技建立市場的新制度。 林修銘表示，集保e存摺讓投資人能隨手登摺掌握最新庫存訊息，並且能查詢不同證券商下所持有的資產部位。集保e存摺上線以來，持續蒐集各方建議、了解用戶需求，所以才有這次的2.0全新改版，希望提供投資人更完善的服務。 他說，集保e存摺新版本共有整合資產分布、雲端交易明細、客製推播訊息、股市脈絡數據等4大特色功能，在整合資產分布部分，由於投資人多有整合多個帳戶的需求，1.0版本已實現讓多本證券存摺集中於「集保e存摺」，2.0版本進一步整合各本證券存摺內的資產，以圖表方式呈現整合資產。 另外，雲端交易明細功能，讓投資人不用再煩惱換手機後交易明細會遺失；客製推播訊息則是針對投資人有權參與的各項事件進行通知；新推出的「e搜股」功能，提供完整的市場重大訊息、股東會、除權息等資訊，並將集保專屬的股權分散數據圖像化，投資人還可自訂級距查詢，讓投資人管理資產更為得心應手。（編輯：蘇志宗）1071119","證券"
"微軟啟動加速器 盼3年助40家新創接軌國際","2018/11/19 18:26","（中央社記者蔡芃敏台北19日電）台灣微軟今天宣布正式啟動「微軟新創加速器」，這個與經濟部合作的平台將連結新創公司與客戶。微軟表示，首次將招攬10至15家新創企業，希望3年內成功扶植40家企業接軌國際。 微軟積極在台灣培育人才，協助產業數位轉型，在2016年成立「微軟物聯網創新中心」布局全球物聯網生態系協助台灣發揚硬體製造業優勢，2018年1月則成立「AI研發中心」將研發核心及資源帶進台灣。 微軟表示，第一期希望招攬10至15家新創團隊，盼能在3年內成功扶植40家企業接軌國際。 微軟說，有意加入加速器的新創團隊需具備創業基礎，目標是走向台灣、國際的企業客戶，只是在技術方面需要微軟協助。 微軟表示，新創面臨很多問題不是錢能解決的，需要前人的經驗。微軟將經驗傳授給新創團隊。另外，也透過這項平台，協助新創團隊更快找到本地和國際客戶。 微軟表示，台灣新創團隊有一部分有意願往外發展，可以透過微軟在全球的加速器與國際接軌。另外，創業不一定需要離鄉背井，想根留台灣的團隊，也能由新創的點子改進台灣傳統展業、製造業。 微軟說，台灣有很好的機會，相信新創團隊在台灣也能成功。 經濟部次長龔明鑫今天也出席記者會，他說，未來中小企業處將改名為中小及新創企業署，未來會挹注更多資源在新創領域，也期盼這個平台能協助更多新創業者。（編輯：李信寬）1071119","產經"
"科技大廠無預警放無薪假  派遣工盼市府伸援手","2018/11/19 18:26","（中央社記者吳睿騏桃園19日電）科技大廠嘉聯益公司位在桃園市觀音區的工廠，上週無預警宣布放無薪假，造成上百位勞工突然失業，今天在桃園市產業總工會的陪同下，60多位勞工到桃園市政府陳情，盼勞動局正視。 科技大廠嘉聯益公司日前發布訊息指出，因應訂單調節，將請派遣公司協助派遣工轉廠，後續將關切、協助派遣公司與派遣工的協調，保障勞工權益。 不過今天下午，60多名嘉聯益公司的派遣工，在桃園市產業總工會的陪同下前往市府陳情，失業派遣工代表受訪表示，公司上週下班前突然召集各部門派遣工，並通知開始放無薪假，上百位勞工頓時失業，分屬8家人力派遣公司的勞工在詢問公司後，也只得到「不確定何時會有工作」的回覆。 失業派遣工代表指出，當初透過派遣公司到嘉聯益工作，與派遣公司1次簽約時間為3個月，許多人連房子都租了，做不到一個月卻接獲通知放無薪假。派遣工認為，嘉聯益明明是賺錢的公司，放無薪假應屬違法行為，要求市府出面介入協調保障勞工權益，更呼籲嘉聯益依照合約給付工資。 桃園市政府勞動局勞資關係科長馮飛燿表示，市府在上週五接獲陳情後，已先派員到派遣公司了解並查核契約，原本預計在28日召開協調會，但失業派遣工希望提前至21日舉行，勞動局則承諾將聯繫資方，並確認協調會時間。（編輯：張銘坤）1071119","地方"
"高端疫苗與美國衛院簽研究授權合約","2018/11/19 18:23","（中央社記者韓婷婷台北19日電）高端疫苗今天宣布與全球頂尖的美國國家衛生研究院簽訂「呼吸道融合病毒」（RSV, Respiratory Syncytial Virus）疫苗研究授權合約。 透過此合約，高端疫苗將取得由美國國衛院開發的RSV-MPV嵌合型疫苗生物材料，用以進行疫苗與診斷試劑研發測試。高端疫苗後續將視研發結果，進一步向美國國衛院協商全球授權規劃。 高端疫苗指出，RSV對早產兒有極高的危險性，根據Washington Business Journal評估，RSV疫苗的全球市場年銷售值預估超過60億美元，被視為下一個具「暢銷醫藥品 (blockbuster)」的潛力，至今仍無主動免疫的預防性疫苗上市。目前市面上唯一上市的RSV被動免疫的抗體藥 (Synagis)，全球年銷售峰值達18億美元。（編輯：張均懋）1071119","證券"
"中國遭批施展債務陷阱外交 太平洋島國也受害","2018/11/19 18:17","（中央社墨爾本19日綜合外電報導）為積極擴張在全球政治經濟影響力，中國提供開發中國家數百億美元優惠貸款進行基礎建設，但卻造成這些國家無力償債，遭批為「債務陷阱外交」，包括一些太平洋島國也受影響。 澳洲廣播公司新聞網（ABC News）報導，北京提供開發中國家的融資，是以推動中國國家主席習近平的「一帶一路」旗艦政策為名義。這項規模1兆美元的建設計畫，目的是以中國為中心，橫跨各洲多國串起貿易通路。 儘管北京曾形容「一帶一路」是雙贏計畫，既能拓展中國的全球貿易雄心，對亟需基礎建設的開發中國家也有利。但實際上，許多體質脆弱的國家到頭來卻發現，自己快被中國債務壓垮。 中國的「債務陷阱外交」是這樣運作：北京提供較貧窮國家優惠貸款來進行大規模基礎建設，這些國家受到吸引而接受；一旦這些國家無法按時償債，北京便能要求他們做出妥協或提供其他好處，以交換債務減免。 專家警告，北京以不良債務當作一種形式的陷阱，以擴大在全球的影響力和勢力。 斯里蘭卡的赫班托達港（Hambantota Port）開發計畫，對任何以為中國貸款沒有附帶條件的人，便是一個警示故事。 斯里蘭卡去年為獲得北京免除約10億美元債務，被迫將赫班托達港出租給中國長達99年，形同交出控制權，因此引發群眾抗議。 北京則因此在區域對手國印度的地盤，取得一關鍵港口的控制權；並在一條重要的商業和軍事水路，取得戰略性據點。 在太平洋地區，中國也如此伸張影響力。短短10年間，中國提供當地國家的貸款和金援總額，從幾近零躍增至18億美元。一些澳洲鄰近國家已背負沉重的中國債務，北京卻還承諾，在整個太平洋地區總共將投入58億美元。 例如，北京曾承諾提供巴布亞紐幾內亞高達35億美元融資，以建設首都莫士比港（Port Moresby）為中心的全新公路網。 斐濟目前則積欠中國5億美元債務。東加王國也欠中國超過1億6000萬美元，相當於國內生產毛額（GDP）的1/3。 東加曾被迫承認可能無力償債，令人擔憂其他太平洋小國也會陷入債務困境，而難以抵擋北京的外交壓力。 事實上，東加總理今年甚至一度有意要求太平洋島國團結一致對抗中國，但數天後他又退縮，至今原因仍不明。 今年稍早有報導傳出，中國正採取行動在萬那杜建立軍事基地。這項消息引發澳洲驚慌，並因此重新專注於奪回在區域的影響力。 澳洲總理莫里森（Scott Morrison）如今也宣布成立一新的基礎建設銀行，專為投資太平洋地區的開發計畫，這普遍被視為抵抗中國影響力的行動。（譯者：張正芊/核稿：劉學源）1071119","國際"
"韓元走弱外資匯出 新台幣連2貶收30.906元","2018/11/19 18:15","（中央社記者邱柏勝台北19日電）韓元開高走低，加上外資匯出，壓抑新台幣貶破30.9元關卡，但出口商隨即進場拋匯，終場新台幣以30.906元兌1美元作收，小貶1.8分，匯價連2貶。 外匯交易員表示，新台幣早盤小升，但受制於亞幣疲弱、韓元開高走低，以及外資、基金等持續匯出，壓抑新台幣貶破30.9元關卡，不過，由於出口商在新台幣貶破30.9元後陸續進場拋匯，緩和新台幣跌勢，終場僅小貶1.8分作收。 展望新台幣後市，外匯交易員指出，近期台股盤整，但包含台積電等大型權值股表現疲弱，市場憂心外資恐進一步匯出，有些基金業者先行一步抽離股市並匯出資金，壓抑新台幣走弱。因本週六就要舉辦九合一選舉，市場觀望選舉結果，預料股匯市交投將趨清淡，新台幣也將在30.9元區間震盪，後續則觀察美元走勢與外資動向。 新台幣兌美元今天開盤價為30.860元，最高30.845元、最低30.910元，台北與元太外匯經紀公司總成交量12.51億美元。（編輯：張均懋）1071119","產經"
"蘇清泉20日造勢晚會 預告韓國瑜到場","2018/11/19 18:12","（中央社記者郭芷瑄屏東縣19日電）國民黨籍屏東縣長候選人蘇清泉今天下午預告，明天晚上6時在屏東市慈鳳宮將舉辦「高屏強勢連線聯合造勢晚會」，高雄市長候選人韓國瑜將親臨會場，訴求高屏生活圈共同翻轉。 韓國瑜曾經在10月份受國民黨籍屏東市長候選人林協松邀請，到屏東為林協松助選，地點也在屏東市慈鳳宮前，當時民眾熱情歡迎的程度，讓全台注意到「韓流」外溢效應，蘇清泉在這場晚會搭了順風車上台演講。 而後，蘇清泉前往高雄市參加11日的反空污遊行，與韓國瑜合體，並與韓國瑜敲定20日到屏東參加造勢晚會；但是，韓國瑜15日到台中與台中市長候選人盧秀燕、新北市長候選人侯友宜合體造勢後，表示不再參加外縣市造勢，昨天雲林縣的造勢，韓國瑜以視訊現身。 韓國瑜明晚會不會親自到屏東參加造勢晚會，由於蘇清泉半個月前已對外預告，上週開始也在競選總部貼告示，受到許多民眾的關注，紛紛打電話向候選人總部詢問。 蘇清泉競選總部下午發新聞稿表示，明晚將在屏東市慈鳳宮前舉辦「高屏強勢連線聯合造勢晚會」，韓國瑜將親臨會場訴求高屏生活圈共同翻轉。 蘇清泉表示，高雄及屏東都是民進黨長期執政的地區，也都「又老又窮」，年輕人口外流、家戶所得偏低，韓國瑜在高雄掀起的旋風，也讓很多屏東人省思覺醒該改變了，他自己剛投入選舉時，外界都不看好，走到現在，民心氛圍已經改變。 蘇清泉說，20日晚會還有前行政院長張善政、前國民黨主席洪秀柱、立委柯志恩及包括屏東市長候選人林協松在內的各鄉鎮市公職候選人也將一起造勢。 民進黨籍屏東縣長候選人潘孟安明天沒有大型造勢活動，競選總部表示，潘孟安明天白天市場掃街，晚上仍是拜票行程。（編輯：陳清芳）1071119","地方"
"美乳品協會與高雄餐飲大學 推乳酪專家認證課程","2018/11/19 18:10","（中央社記者顧荃台北19日電）美國在台協會（AIT）今天表示，將正式在台灣推出「美國乳酪專家」認證課程，課程由美國乳品出口協會與國立高雄餐旅大學合作，預計於2019年推出。 AIT下午透過新聞稿表示，美國乳品出口協會與國立高雄餐旅大學簽訂合作備忘錄，以產學合作的方式，教育新一代食品業專業人員認識乳酪食材。 AIT指出，美國乳酪專家認證課程是針對食品服務業及零售業而設計的全球性訓練課程，包括三種漸近式的認證級別（初級、中級、高級）。參加者在完成全部三級課程後，將可獲得美國乳酪專家的頭銜，同時可將臂章縫在廚師服上。 AIT說，完成課程者還可入選全球美國乳酪專家社群與享有美國乳酪公會終身會員籍，並可以在職場上持續獲得美國乳酪產業的豐富資源。美國乳酪專家認證課程預計於2019年正式在台推出。 AIT農業貿易辦事處主任傅貴表示，美國乳酪專家認證課程的設立，肯定台灣市場在美國產業中的重要性。相信這個課程將對培育新世代的乳酪專業人員扮演舉足輕重的角色。很榮幸可以支持這項促進美國乳品產業及台灣食品產業合作的專業課程。（編輯：謝佳珍）1071119","生活"
"苗栗縣長選舉政見會  雙徐互批火力全開","2018/11/19 18:04","（中央社記者管瑞平苗栗縣19日電）第18屆苗栗縣長選舉候選人公辦電視政見發表會今天舉行第二場次，尋求連任的國民黨徐耀昌和無黨籍徐定禎在選戰最後階段，火力全開，要選民睜大雙眼，用選票決定苗栗未來。 這場公辦電視政見發表會上午9時起在苗栗信和、吉元有線電視第3頻道及YouTube直播，19至21日三天晚間7時重播。4名候選人有國民黨徐耀昌、無黨籍徐定禎、無黨籍黃玉燕3人出席，依抽籤結果依序分兩輪發表政見，一輪每人12分鐘。無黨籍朱泰平兩場次都缺席。 徐耀昌主打政績、政見牌，並批徐定禎宣稱讓頭份市公所從負債6千萬到結餘3億多元，但大部分結餘金額來自縣府協助出售舊頭份國中土地分配到的價金，要蓋頭份里民活動中心、中港溪要變宜蘭冬山河等政見都跳票，還有多項建設都是「割稻尾」當個人政績宣傳。 徐耀昌說他在縣府財政最困難下接任縣長，面對600多億元負債，四處奔走，爭取中央經費，運用人脈資源招商，努力開源節流，讓縣府創下18年來首度歲計賸餘，4年減債38億元，吸引225家企業投資苗栗設廠，台積電、力晶科技都將進駐，創造逾萬個就業機會。 徐定禎回應說他接任頭份鎮長時公所負債6000萬元，第一任滿結餘5000餘萬，第二任至今年5月結算結餘3億多，「結算報告做不了假」，活動中心沒蓋是考量土地低度利用太可惜，而重新設計發包，近期可望動工。 徐定禎又直指徐耀昌涉及的棄土案官司，拖了13年一審重判9年，上訴二審拖了5年至今未宣判，「官司懸在那裡，怎會有心於縣政？」、「若徐耀昌再連任，全國鄉親會如何看待苗栗？」盼選民冷靜想想。 第二輪發言「雙徐」更火力全開，互有攻防。徐耀昌質疑徐定禎拿不出具體政見。針對官司問題，徐耀昌指案件延宕已久，法官換了幾位，就是找不到他涉貪的事證、對價關係，他希望趕快還他清白並保證「徐耀昌絕對沒有貪污」，要把建設留給苗栗、名聲留給自己。 徐定禎第二輪發言重提兩人選舉恩怨，並批評苗栗縣近年在全國各項評比結果吊車尾，主因執政者不用心。他提出免費營養午餐等十大承諾，一定說到做到，做不到就下台，行政院長賴清德也允諾願全力協助苗栗。 苗栗縣長選舉唯一女性候選人黃玉燕兩階段發表政見皆不慍不火，詳述「創富苗栗十大經濟」理念，上任將整合資源，打造苗栗成國際級觀光、宗教旅遊勝地，規劃花卉園區、海洋生科園區等，爭取國際接單，擴大經濟規模，「苗栗負債雖多，在我看來很容易解決」。（編輯：翁翠萍）1071119","地方"
"選舉投票日逼近 嘉義市長3候選人衝刺","2018/11/19 18:03","（中央社記者江俊亮嘉義市19日電）選舉投票日逼近，國民黨嘉義市長候選人黃敏惠今天由前總統馬英九陪同拜票。民進黨嘉義市長候選人涂醒哲則由新竹市長林智堅陪同掃街拜票。 無黨籍市長候選人蕭淑麗則在市議會主持會議並提臨時動議「支持愛家三公投」，獲大會通過。 黃敏惠今天由前總統馬英九陪同，分別參拜佛光山圓福寺、朝天宮、玉皇宮、九華山地藏庵、文財殿等寺廟，並參加黃敏惠「未來嘉義市」形象影片發布記者會、參訪嘉義市脊髓損傷協會、嘉愛啟智發展中心等機構。 馬英九受訪表示，黃敏惠認真、有擔當，應該讓黃敏惠來帶領嘉義市。有關媒體提問國民黨主席吳敦義失言風波，是否會衝擊選情一事，馬英九認為吳敦義已經道歉，「國民黨全黨應團結、再團結，打贏這場選戰」。 黃敏惠下午在立委費鴻泰等人陪同下，前往嘉義市經國新城眷村催票。 涂醒哲今天則邀請新竹市長林智堅到嘉義市參訪，並一起登上吉普車掃街拜票。林智堅在嘉義火車站前廣場受訪表示，嘉義火車站在1933年完工，屬於市定古蹟；1913年完工的新竹火車站是國定古蹟；兩市火車站改造，都秉持「以人為本」原則，把空間還給行人，讓古蹟火車站風華再現。 林智堅參觀嘉義市願景館時，涂醒哲表示，嘉義市是一座醫療城市，而且是「老而健康，老而有用」的城市，在高齡友善評比上是全台灣第一名；新竹市是一座科技城市，未來雙方可以在健康醫療、人工智慧方面進行合作。 另外，蕭淑麗今天主持嘉義市議會第9屆第8次定期會第6次會議，在會中提出「支持愛家三公投」臨時動議，獲大會通過，同時籲請總統蔡英文、行政院長賴清德在公投日前夕站出來公開明確表態，以呼應國人的期望。 蕭淑麗表示，由下一代幸福聯盟所提的「愛家三公投」，強烈主張家庭是一夫一妻制，支持適齡教育，反對在年幼時進行同婚教育，她支持應以立專法的方式保障同婚，並對各種性別及不同意見都予以尊重。（編輯：陳俊碩）1071119","地方"
"陸女將跑馬拉松被硬塞五星旗 官媒：道德綁架","2018/11/19 18:03","（中央社台北19日電）中國長跑女將何引麗18日參加馬拉松賽時，最後階段硬被一名志工遞上五星旗未果，不但因此屈居亞軍，還被愛國網民指責。但央視評論認為，志工的舉動相當不專業，網民的指責更是道德綁架。 央視報導，18日在江蘇蘇州舉行的「2018蘇州太湖馬拉松」，女子組比賽到最後衝刺階段時，何引麗與另一名非洲選手正爭取最後奪冠。此時，一名志工卻突然闖入賽道，硬要把一面五星旗遞給何引麗。 根據報導，這面五星旗並沒有被何引麗接住而掉落在賽道上，但何引麗的步伐已被干擾，導致無法專心衝刺，最後屈居亞軍，引起議論。 由於何引麗沒有接住五星旗，有中國網民指責她「扔掉」了五星旗。一名自稱跑步愛好者的自媒體博主更質疑何引麗「成績比國旗更重要？」又說「既然接了國旗，就沒有任何理由和藉口扔掉」。這項指責，雖獲得一些網民附和，但被更多網民質疑。 受到不少壓力的何引麗為此回應說，五星旗「不是扔」，當時旗子「全部濕透，我的胳膊也僵了，擺臂的時候甩出去了」。 馬拉松主辦單位今天中午回應，這是志工「個人行為，原則上不允許其他人進入賽道」，但也「不應追究某個人的責任」。這一回應，也引起不少網民議論及質疑。 央視下午發表評論指出，志工將五星旗「硬塞」給何引麗的「行為相當不專業」、「更像是一種刷存在感的自私行為」。 評論直指，最後衝刺對馬拉松選手而言至關重要，「容不得半點干擾」，志工這一舉動顯然影響了何引麗的節奏，直接導致成績下降。如果希望選手披上五星旗顯示愛國，「完全可以在賽後再遞上」。 評論還說，上述網民對何引麗的指責「不僅站不住腳，而且有道德綁架之嫌」，「是不是所有馬拉松選手在參賽時都應該高舉國旗跑完全程，否則獲得的成績就應該作廢？」 這篇評論指出，「接了國旗就沒有任何理由和藉口扔掉」的指責，完全是「地地道道的站著說話不腰疼」。正如其他網民所說，有些電腦前的酸民「就算用國旗把自己包裹起來，也沒有為國家作出半點貢獻」。（編輯：邱國強/馮昭）1071119","運動"
"監理沙盒實驗第2案 外勞可在超商匯款給家人","2018/11/19 17:58","（中央社記者邱柏勝台北19日電）金融監理沙盒實驗第2案年底前出爐，金管會主委顧立雄說，現正研議開放非金融業經營跨境小額匯兌業務，外勞可透過超商通路將薪資匯往境外指定對象，有助強化外勞勞動自主權。 顧立雄今天出席107年度金融資訊系統年會暨成果發表會，會後接受媒體訪問時透露，目前有數家非金融業者申請進入沙盒實驗，主要是跨境小額匯兌業務。 顧立雄說，過去外勞常透過「西聯匯款」方式匯出薪資，不過洗錢防制規範日趨嚴格，西聯匯款有一些疑慮，但若將境外匯兌的匯款人限定為外勞，所產生的風險，也許會比不限對象的跨境匯兌來得低，因此金管會有意透過沙盒實驗，研議可行方案。 顧立雄表示，此次監理沙盒申請案的審議原則有三項，首先是「單一性」，境外匯兌業務服務對象僅限外勞；其次是小額、定額或定期性的薪資匯款，且收款人身份明確（例如匯款人的家人等），最後，則是希望藉此提高外勞的勞動自主權。 顧立雄說，外勞放假時間少，且他們的放假時間都是銀行休息時間，多數透過仲介公司做「整包式」的匯款，小額匯兌業務開放後，外勞可以透過超商通路自行做小額匯款，有助提高外勞的勞動自主權。 顧立雄表示，目前有3件這類型的申請案，都是非金融業者提出，金管會將會從風險可控性、以及提升外勞勞權的考量，進行有限業務的實驗。若實驗成功，並能確保資安及洗錢風險控管，就會進一步思考有限證照發放的可行性。 所謂西聯匯款，英文為「Western Union Quick Cash」，是透過美國西聯公司在世界各地與其他銀行合作的「即時網路匯款」服務，匯款人只要到與西聯匯款合作的銀行，填寫資料就能在一天之內將款項匯給海外的受款人，受款人在任何一家西聯合作銀行都能領取款項。 西聯匯款的特色是速度快、方便，而且不在銀行開戶也可以馬上領取現金，但也因其使用英文填寫，字母拼法差異可能捲入洗錢疑慮，台灣的銀行已陸續停做西聯匯款服務。（編輯：陸倩瑤）1071119","產經"
"友威深耕先進封裝  客製化真空電漿應用系統","2018/11/19 17:55","（中央社記者鍾榮峰台北19日電）設備廠友威科技布局半導體先進封裝製程設備，預期明年半導體應用比重大幅成長。法人預估，友威科技明年業績看增10%到15%，不排除有機會上看20%。 友威科技今天下午受邀參加元大證券舉辦法人說明會。 友威科技積極布局半導體領域，友威科技表示，封裝技術尺寸精度要求越來越高，預期乾式電漿設備才能符合先進封裝技術開發需求。友威布局客製化真空電漿應用系統，在金屬濺鍍與乾式電漿蝕刻系統開發，已有客戶實績。 在半導體先進封裝製程上，包括晶片內埋（Chip Embedded）或是散出型面板級封裝（FOPLP），友威科技推出連續式鈦銅種子層濺鍍系統、高效能孔洞蝕刻系統、高速介電材蝕刻設備、以及細線化趨勢下的窄線寬金屬蝕刻設備。 展望明年營運，友威科技預期，明年非蘋產品光學和汽車應用濺鍍設備可望成長，半導體濺鍍設備可大幅成長，濺鍍代工可望微幅增加，預期光學濺鍍設備占比約25%到35%，汽車占比約15%到25%，半導體占比大幅提升到20%到30%，代工占比約20%到25%。 法人預估友威科技明年業績成長幅度看10%到15%，不排除上看20%，友威設備切入美系大廠手機背面被蓋鍍膜，未來布局5G、光學、汽車以及半導體產業。 友威科技今年前3季稅後獲利新台幣1.1億元，每股稅後純益3.04元。今年前10月自結合併營收8.06億元，較去年同期減少20.7%。 從營收比重來看，今年第3季設備占比約82%，代工占比約18%。從產業應用來看，今年第3季光學占比約47%，汽車占比約15%，半導體占比約4%，代工占比約22%。 根據公開資訊觀測資料，鴻海集團子公司寶鑫國際投資，持有友威科技股權比重約11.46%，法人指出，寶鑫國際投資是友威科技第一大股東。 友威科技專攻真空濺鍍設備及鍍膜代工，提供真空濺鍍設備與半導體設備及鍍膜代工服務，包含光學鍍膜、高階SiP EMI鍍膜與晶片散熱鍍膜、乾式蝕刻等綠色環保製程。（編輯：蘇志宗）1071119","證券"
